Round,Red 1,Red 2,Blue 1,Blue 2,
105,201,724,6433,2844,
106,6299,9048,6935,5151,
107,7550,9746,7023,5140,
108,4530,5145,7655,5466,
109,8609,9752,3486,7350,
110,7477,6510,6007,5037,
111,9754,8790,5894,8471,
112,4855,6389,7172,519,
113,9749,4250,3805,6133,
114,5096,6081,724,9048,
115,8327,9747,7550,6935,
116,9756,5140,5975,6299,
117,4029,3486,5145,7138,
118,2844,4100,7655,4137,
119,3085,6007,201,8221,
120,8609,9754,6389,9746,
121,8471,5037,9752,5466,
122,4017,7006,8330,6510,
123,6433,4318,4855,7477,
124,7350,7023,5151,5009,
125,6037,6735,5894,28,
126,8790,7172,4530,6137,
127,519,7487,3595,3415,
128,7187,4082,6451,8338,
129,4250,9746,5145,8221,
130,5466,5140,6133,201,
131,6081,8330,7550,6389,
132,8471,6299,8327,6007,
133,4855,4137,9756,9752,
134,9754,7023,5975,7138,
135,5096,4318,5894,3486,
136,7350,4530,4082,9747,
137,8790,3805,519,6037,
138,4017,5151,7187,5037,
139,9048,9749,3415,6510,
140,7477,5009,6137,3085,
141,7006,4100,8609,724,
142,4029,8338,2844,6935,
143,6735,3595,7655,7172,
144,6433,6451,28,7487,
